text,label
"I have a dry cough and a sore throat.",respiratory
"I feel short of breath when I climb the stairs.",respiratory
"My nose is blocked and I keep sneezing.",respiratory
"I have chest tightness and a cough.",respiratory
"My throat hurts when I swallow.",respiratory
"I have been coughing at night for several days.",respiratory
"I feel wheezy when I breathe out.",respiratory
"I have a runny nose and a mild fever.",respiratory
"My cough is worse when I lie down.",respiratory
"I feel pressure in my chest and have trouble breathing.",respiratory
"I keep coughing after walking outside in cold air.",respiratory
"My breathing feels noisy and tight when I exercise.",respiratory
"I have a stuffy nose, sore throat, and mild cough.",respiratory
"I feel breathless and tired after climbing one floor.",respiratory
"My chest feels tight when I take a deep breath.",respiratory
"My stomach hurts after I eat.",gastrointestinal
"I feel nauseous and I have diarrhea.",gastrointestinal
"I have been vomiting since this morning.",gastrointestinal
"I feel bloated and have stomach cramps.",gastrointestinal
"I have pain in my abdomen after meals.",gastrointestinal
"I need to go to the bathroom very often because of diarrhea.",gastrointestinal
"I feel sick to my stomach when I smell food.",gastrointestinal
"My belly feels swollen and uncomfortable.",gastrointestinal
"I have stomach cramps and loose stools.",gastrointestinal
"I feel burning discomfort in my stomach after eating.",gastrointestinal
"I have nausea and stomach pain after a long car ride.",gastrointestinal
"My abdomen feels tight and I have lost my appetite.",gastrointestinal
"I feel queasy and have had watery stools today.",gastrointestinal
"My stomach pain comes with bloating and gas.",gastrointestinal
"I vomited twice and my stomach still feels upset.",gastrointestinal
"I have an itchy red rash on my arm.",skin
"My skin is swollen after an insect bite.",skin
"I have dry and cracked skin on my hands.",skin
"There are small red bumps on my face.",skin
"My skin feels itchy and irritated.",skin
"I have a rash that becomes worse when I scratch it.",skin
"My hands are red, dry, and painful.",skin
"I noticed swelling and redness around a small cut.",skin
"I have hives on my chest and back.",skin
"My skin is peeling and feels very dry.",skin
"I have an itchy patch on my neck that looks red.",skin
"The skin around my ankle is swollen and warm.",skin
"I noticed a new rash after using a different soap.",skin
"My face has red spots that feel irritated.",skin
"My arms feel itchy and the skin looks bumpy.",skin
"I cannot sleep and feel anxious at night.",mental_health_sleep
"I feel stressed and tired all the time.",mental_health_sleep
"I wake up many times during the night.",mental_health_sleep
"I feel low and have no energy most days.",mental_health_sleep
"My thoughts keep racing when I try to sleep.",mental_health_sleep
"I feel nervous during the day and exhausted at night.",mental_health_sleep
"I have trouble falling asleep even when I am tired.",mental_health_sleep
"I feel overwhelmed and cannot relax.",mental_health_sleep
"I wake up too early and cannot go back to sleep.",mental_health_sleep
"I feel sad, restless, and unable to sleep well.",mental_health_sleep
"I feel tense before bed and lie awake for hours.",mental_health_sleep
"I feel worried most evenings and sleep very badly.",mental_health_sleep
"I feel emotionally drained and cannot concentrate.",mental_health_sleep
"I wake up tired even after spending the night in bed.",mental_health_sleep
"I feel anxious and my sleep schedule is getting worse.",mental_health_sleep
"I have a strong headache and feel dizzy.",neurological
"My hands feel numb and tingling.",neurological
"I feel lightheaded when I stand up.",neurological
"I have blurred vision together with a headache.",neurological
"I feel dizzy and unsteady when I walk.",neurological
"My fingers tingle and sometimes feel weak.",neurological
"I have a sharp headache behind my eyes.",neurological
"I feel confused and have trouble focusing.",neurological
"My face feels numb on one side.",neurological
"I have repeated headaches with sensitivity to light.",neurological
"I feel dizzy and tired after not sleeping well.",neurological
"My legs feel numb after sitting for a long time.",neurological
"I have a headache and my vision feels strange.",neurological
"I feel pins and needles in my arm.",neurological
"I feel lightheaded and my balance feels off.",neurological
"My lower back hurts when I bend.",musculoskeletal
"My knee is painful after walking.",musculoskeletal
"I have stiffness in my neck and shoulders.",musculoskeletal
"My wrist hurts when I lift objects.",musculoskeletal
"My ankle hurts after I twisted it.",musculoskeletal
"I have muscle soreness in my legs after exercise.",musculoskeletal
"My shoulder feels stiff when I raise my arm.",musculoskeletal
"I have joint pain in my fingers.",musculoskeletal
"My hip hurts when I walk for a long time.",musculoskeletal
"I feel pain in my elbow when I carry bags.",musculoskeletal
"My chest wall hurts when I move or press on it.",musculoskeletal
"My back feels stiff after sitting at my desk.",musculoskeletal
"My neck pain gives me a headache after studying.",musculoskeletal
"I have pain in my foot when I stand for too long.",musculoskeletal
"My muscles feel tight and sore after lifting boxes.",musculoskeletal
