text,label
I feel emotionally drained and cannot concentrate.,mental_health_sleep
My breathing feels noisy and tight when I exercise.,respiratory
I have blurred vision together with a headache.,neurological
I have pain in my foot when I stand for too long.,musculoskeletal
I have hives on my chest and back.,skin
I have stomach cramps and loose stools.,gastrointestinal
My chest wall hurts when I move or press on it.,musculoskeletal
I have a strong headache and feel dizzy.,neurological
I feel queasy and have had watery stools today.,gastrointestinal
My chest feels tight when I take a deep breath.,respiratory
I have an itchy red rash on my arm.,skin
I keep coughing after walking outside in cold air.,respiratory
I have been coughing at night for several days.,respiratory
There are small red bumps on my face.,skin
I feel low and have no energy most days.,mental_health_sleep
I need to go to the bathroom very often because of diarrhea.,gastrointestinal
I feel wheezy when I breathe out.,respiratory
I feel short of breath when I climb the stairs.,respiratory
I feel tense before bed and lie awake for hours.,mental_health_sleep
"I have a stuffy nose, sore throat, and mild cough.",respiratory
I cannot sleep and feel anxious at night.,mental_health_sleep
I noticed swelling and redness around a small cut.,skin
My lower back hurts when I bend.,musculoskeletal
I feel lightheaded when I stand up.,neurological
The skin around my ankle is swollen and warm.,skin
I feel burning discomfort in my stomach after eating.,gastrointestinal
I have muscle soreness in my legs after exercise.,musculoskeletal
"I feel sad, restless, and unable to sleep well.",mental_health_sleep
My stomach pain comes with bloating and gas.,gastrointestinal
I have dry and cracked skin on my hands.,skin
My face has red spots that feel irritated.,skin
I feel sick to my stomach when I smell food.,gastrointestinal
I have stiffness in my neck and shoulders.,musculoskeletal
My abdomen feels tight and I have lost my appetite.,gastrointestinal
My neck pain gives me a headache after studying.,musculoskeletal
I feel worried most evenings and sleep very badly.,mental_health_sleep
My wrist hurts when I lift objects.,musculoskeletal
My belly feels swollen and uncomfortable.,gastrointestinal
My legs feel numb after sitting for a long time.,neurological
I feel overwhelmed and cannot relax.,mental_health_sleep
I have a runny nose and a mild fever.,respiratory
My hands feel numb and tingling.,neurological
I feel dizzy and unsteady when I walk.,neurological
My ankle hurts after I twisted it.,musculoskeletal
I feel breathless and tired after climbing one floor.,respiratory
My thoughts keep racing when I try to sleep.,mental_health_sleep
My stomach hurts after I eat.,gastrointestinal
I have an itchy patch on my neck that looks red.,skin
I have a sharp headache behind my eyes.,neurological
I feel pins and needles in my arm.,neurological
I feel nervous during the day and exhausted at night.,mental_health_sleep
I have a headache and my vision feels strange.,neurological
I feel pressure in my chest and have trouble breathing.,respiratory
I have repeated headaches with sensitivity to light.,neurological
My arms feel itchy and the skin looks bumpy.,skin
I feel lightheaded and my balance feels off.,neurological
I have a rash that becomes worse when I scratch it.,skin
I wake up too early and cannot go back to sleep.,mental_health_sleep
I feel nauseous and I have diarrhea.,gastrointestinal
My throat hurts when I swallow.,respiratory
My skin is peeling and feels very dry.,skin
I have pain in my abdomen after meals.,gastrointestinal
My back feels stiff after sitting at my desk.,musculoskeletal
I wake up many times during the night.,mental_health_sleep
I wake up tired even after spending the night in bed.,mental_health_sleep
I feel pain in my elbow when I carry bags.,musculoskeletal
My shoulder feels stiff when I raise my arm.,musculoskeletal
